ID;Pregunta;Categoria;qty;correctas;shareCorrecta
1;¿Quién es el heroe que protege a Ciudad Gotica?;Entretenimiento;1;1;1
2;"¿Cómo se llamaba el barco del pirata Jack Sparrow en ""Piratas del Caribe""?";Entretenimiento;1;1;1
3;¿Cuál es la comida preferida de Garfield;Entretenimiento;1;1;1
4;¿En que parte de Estados unidos vive la familia soprano;Entretenimiento;1;1;1
5;¿Qué superpoder tiene Lex Luthor, el archienemigo de Superman?;Entretenimiento;1;1;1
6;"¿En que cancha esta filmada la escena de futbol de ""El Secreto ded sus Ojos""?";Entretenimiento;1;1;1
7;Apu de Los Simpsons ¿Es vegetariano?;Entretenimiento;1;1;1
8;"¿En que pais se desarrolla ""La novicia rebelde""?";Entretenimiento;1;1;1
9;¿Con que pelicula Jennifer Lawrence gano el Oscar?;Entretenimiento;1;1;1
10;"¿Cómo se llama el hermano de Michael Scofield en la serie ""Prision Break""?";Entretenimiento;1;1;1
11;¿Qué ciudad fue elegida como sede de los juegos olimpicos 2020?;Deporte;1;1;1
12;El tenista Rafael Nadal ¿Es diestro?;Deporte;1;1;1
13;¿Qué nombre recibe la colchoneta donde se practica Judo?;Deporte;1;1;1
14;"En la pesca deportiva ¿A que pez se lo conoce como ""Flecha de plata""?";Deporte;1;1;1
15;¿En que provincia Argentina nacio el golfista Angel Cabrera?;Deporte;1;1;1
16;¿Qué animal fue seleccionado como mascota del mundial de futbol Rusia 2018?;Deporte;1;1;1
17;¿Se permiten golpes de codo en kick-boxing?;Deporte;1;1;1
18;¿En que pais se invento el paddle?;Deporte;1;1;1
19;¿Qué altura tienen los trampolines olimpicos?;Deporte;1;1;1
20;¿Cuántas medallas de oro tuvo Argentina en Rio 2016?;Deporte;1;1;1
21;¿Qué animal puede sobrevivir mas tiempo sin agua?;Naturaleza;1;1;1
22;¿Las hormigas tienen reinas, como las abejas?;Naturaleza;1;1;1
23;Los tibres blancos tienen ojos azules ¿De que color los tienen el resto?;Naturaleza;1;1;1
24;Los koalas se alimentan de las hojas y corteza de un solo arbol ¿De cual?;Naturaleza;1;1;1
25;¿Quién fue el primer hombre que realizo un vuelo espacial?;Naturaleza;1;1;1
26;¿En que lugar del cuerpo tienen las moscas sus 15.000 papilas gustativas?;Naturaleza;1;1;1
27;¿En que momento del dia suelen registrarse las temperaturas mas bajas?;Naturaleza;1;1;1
28;¿De que color es la piel de los osos polares debajo del pelo?;Naturaleza;1;1;1
29;¿Las ballenas ponen huevos?;Naturaleza;1;1;1
30;¿Cuántas patas tiene un cien pies?;Naturaleza;1;1;1
31;¿Dónde nacio Barack Obama;Geografia;1;1;1
32;Si hago rafting en el rio Atuel ¿En que provincia estoy?;Geografia;1;1;1
33;"¿Qué pais asiatico es conocido como ""La tierra del elefante blanco""?";Geografia;1;1;1
34;¿La ruptura de que galciar es admirado por miles de turistar?;Geografia;1;1;1
35;¿En que pais esta la caverna mas profunda del mundo?;Geografia;1;1;1
36;¿A que pais pertenece la turistica isla margarita?;Geografia;1;1;1
37;¿Cómo se llamo el huracan que devasto Nueva Orleans en el siglo XXI?;Geografia;1;1;1
38;Indonesia ¿Esta formado por mas de 10.000 islas?;Geografia;1;1;1
39;¿Qué provincia es la capital nacional del poncho?;Geografia;1;1;1
40;Una vez disuelta la Union Sovietica ¿Cuál paso a ser el pais mas extenso del mundo?;Geografia;1;1;1
